Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-5.96552000e-06,2.22500000e+00,1.00450000e+02,1.97000000e+01,1.82750000e+01,1.50843750e+00
-5.96520000e-06,2.52500000e+00,1.01050000e+02,1.96125000e+01,1.82375000e+01,1.50781250e+00
-5.96488000e-06,2.42500000e+00,1.00750000e+02,1.96125000e+01,1.81375000e+01,1.50750000e+00
-5.96456000e-06,2.27500000e+00,1.00400000e+02,1.96500000e+01,1.82250000e+01,1.50718750e+00
-5.96424000e-06,2.52500000e+00,1.00750000e+02,1.96750000e+01,1.81500000e+01,1.50718750e+00
-5.96392000e-06,2.32500000e+00,1.00900000e+02,1.96375000e+01,1.82875000e+01,1.50718750e+00
-5.96360000e-06,2.22500000e+00,1.00900000e+02,1.96500000e+01,1.83750000e+01,1.50718750e+00
-5.96328000e-06,2.12500000e+00,1.00400000e+02,1.95000000e+01,1.81625000e+01,1.50781250e+00
-5.96296000e-06,2.07500000e+00,1.00750000e+02,1.95625000e+01,1.82000000e+01,1.50812500e+00
-5.96264000e-06,2.02500000e+00,1.00350000e+02,1.97000000e+01,1.82625000e+01,1.50906250e+00
-5.96232000e-06,2.57500000e+00,1.00700000e+02,1.96375000e+01,1.82750000e+01,1.51000000e+00
-5.96200000e-06,2.27500000e+00,1.00750000e+02,1.95375000e+01,1.82750000e+01,1.51156250e+00
-5.96168000e-06,2.57500000e+00,1.00700000e+02,1.96250000e+01,1.83500000e+01,1.51312500e+00
