Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,4.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
3.02350000e-08,1.51020000e+02,1.51515000e+02,1.93375000e+01,2.75937500e+00,-1.05718750e-03
3.05550000e-08,1.50900000e+02,1.50990000e+02,1.94000000e+01,2.56875000e+00,-1.68937500e-03
3.08750000e-08,1.50600000e+02,1.50495000e+02,1.94000000e+01,2.63125000e+00,-2.14093750e-03
3.11950000e-08,1.51140000e+02,1.50315000e+02,1.93125000e+01,2.72187500e+00,-2.34812500e-03
3.15150000e-08,1.51560000e+02,1.50855000e+02,1.93875000e+01,2.72187500e+00,-2.40125000e-03
3.18350000e-08,1.50780000e+02,1.50795000e+02,1.92750000e+01,2.69375000e+00,-2.39593750e-03
3.21550000e-08,1.50960000e+02,1.51455000e+02,1.91750000e+01,2.74687500e+00,-2.33218750e-03
3.24750000e-08,1.51200000e+02,1.50810000e+02,1.94500000e+01,2.72187500e+00,-2.14625000e-03
3.27950000e-08,1.50900000e+02,1.50975000e+02,1.92375000e+01,2.82187500e+00,-1.79031250e-03
3.31150000e-08,1.50840000e+02,1.51335000e+02,1.92375000e+01,2.65625000e+00,-1.28562500e-03
3.34350000e-08,1.50720000e+02,1.50600000e+02,1.93375000e+01,2.84687500e+00,-7.27812500e-04
3.37550000e-08,1.51200000e+02,1.51020000e+02,1.93875000e+01,2.80937500e+00,-2.60312500e-04
3.40750000e-08,1.51080000e+02,1.51335000e+02,1.92000000e+01,2.87187500e+00,-1.06250000e-05
3.43950000e-08,1.51020000e+02,1.51095000e+02,1.94250000e+01,2.80937500e+00,-1.06250000e-05
3.47150000e-08,1.51200000e+02,1.50480000e+02,1.93000000e+01,3.00937500e+00,-1.64687500e-04
3.50350000e-08,1.51260000e+02,1.50975000e+02,1.92500000e+01,2.84687500e+00,-2.65625000e-04
3.53550000e-08,1.51260000e+02,1.51215000e+02,1.92875000e+01,2.93437500e+00,-1.54062500e-04
3.56750000e-08,1.51260000e+02,1.50735000e+02,1.93625000e+01,2.79687500e+00,1.32812500e-04
3.59950000e-08,1.51500000e+02,1.50735000e+02,1.92875000e+01,2.85937500e+00,4.03750000e-04
3.63150000e-08,1.51080000e+02,1.51035000e+02,1.93250000e+01,2.98437500e+00,4.46250000e-04
3.66350000e-08,1.51260000e+02,1.50675000e+02,1.94125000e+01,2.98437500e+00,1.85937500e-04
3.69550000e-08,1.51200000e+02,1.50225000e+02,1.94125000e+01,2.99687500e+00,-2.49687500e-04
3.72750000e-08,1.51320000e+02,1.51275000e+02,1.94250000e+01,3.07187500e+00,-6.37500000e-04
3.75950000e-08,1.50840000e+02,1.51230000e+02,1.93000000e+01,3.00937500e+00,-7.65000000e-04
3.79150000e-08,1.51140000e+02,1.50495000e+02,1.93750000e+01,3.12500000e+00,-5.10000000e-04
3.82350000e-08,1.50720000e+02,1.51275000e+02,1.93125000e+01,3.18750000e+00,9.56250000e-05
3.85550000e-08,1.50480000e+02,1.50975000e+02,1.93500000e+01,3.15312500e+00,8.76562500e-04
3.88750000e-08,1.51080000e+02,1.51155000e+02,1.94375000e+01,2.99062500e+00,1.62031250e-03
