Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.43600000e-07,2.62500000e-01,9.63437500e+00,-2.68750000e-02,-1.63281250e-01
-5.43280000e-07,1.25000000e-01,9.62187500e+00,-3.31250000e-02,-4.76562500e-02
-5.42960000e-07,1.25000000e-01,9.64687500e+00,1.06250000e-02,-1.01562500e-02
-5.42640000e-07,7.50000000e-02,9.72187500e+00,-8.75000000e-03,6.25000000e-03
-5.42320000e-07,1.00000000e-01,9.70937500e+00,-1.68750000e-02,1.25000000e-02
-5.42000000e-07,5.00000000e-02,9.62187500e+00,1.31250000e-02,-1.48437500e-02
-5.41680000e-07,1.25000000e-01,9.53437500e+00,-6.87500000e-03,1.09375000e-02
-5.41360000e-07,5.00000000e-02,9.60937500e+00,-3.06250000e-02,-2.34375000e-03
-5.41040000e-07,1.37500000e-01,9.63437500e+00,-2.25000000e-02,-1.13281250e-01
-5.40720000e-07,1.00000000e-01,9.63437500e+00,-4.37500000e-02,-1.46093750e-01
-5.40400000e-07,1.37500000e-01,9.63437500e+00,-1.37500000e-02,-1.12500000e-01
-5.40080000e-07,1.37500000e-01,9.49687500e+00,-1.68750000e-02,-9.84375000e-02
-5.39760000e-07,6.25000000e-02,9.59687500e+00,-1.43750000e-02,-1.62500000e-01
-5.39440000e-07,7.50000000e-02,9.53437500e+00,-1.18750000e-02,-5.46875000e-02
-5.39120000e-07,7.50000000e-02,9.67187500e+00,-6.87500000e-03,1.01562500e-02
-5.38800000e-07,6.25000000e-02,9.53437500e+00,-1.93750000e-02,2.03125000e-02
-5.38480000e-07,2.50000000e-02,9.74687500e+00,-4.43750000e-02,-3.82812500e-02
-5.38160000e-07,1.25000000e-02,9.68437500e+00,-7.00000000e-02,-7.42187500e-02
-5.37840000e-07,2.50000000e-02,9.70937500e+00,-1.18750000e-02,-2.57812500e-02
-5.37520000e-07,1.50000000e-01,9.64687500e+00,-3.12500000e-02,5.23437500e-02
-5.37200000e-07,-1.25000000e-02,9.59687500e+00,-4.37500000e-03,8.75000000e-02
-5.36880000e-07,1.75000000e-01,9.58437500e+00,-3.12500000e-02,4.60937500e-02
-5.36560000e-07,7.50000000e-02,9.63437500e+00,-4.87500000e-02,3.51562500e-02
-5.36240000e-07,1.00000000e-01,9.55937500e+00,-2.56250000e-02,1.56250000e-02
-5.35920000e-07,5.00000000e-02,9.67187500e+00,-2.12500000e-02,-2.65625000e-02
-5.35600000e-07,3.75000000e-02,9.57187500e+00,-4.06250000e-02,3.82812500e-02
-5.35280000e-07,1.62500000e-01,9.68437500e+00,-2.56250000e-02,-1.56250000e-02
